STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,REF_AREA,,FREQ,,METHODOLOGY,,MEASURE,,UNIT_MEASURE,,EXPENDITURE,,ADJUSTMENT,,TRANSFORMATION,,TIME_PERIOD,,OBS_VALUE,,OBS_STATUS,,UNIT_MULT,,BASE_PER,,DURABILITY,,DECIMALS,
DATAFLOW,OECD.SDD.TPS:DSD_PRICES@DF_PRICES_ALL(1.0),,I,NZL,,Q,,N,,CPI,,PA,,_T,,N,,GY,,2007-Q1,,2.535473,,A,,,,,,,,2,
DATAFLOW,OECD.SDD.TPS:DSD_PRICES@DF_PRICES_ALL(1.0),,I,NZL,,Q,,N,,CPI,,PA,,_T,,N,,GY,,2007-Q2,,2,,A,,,,,,,,2,
DATAFLOW,OECD.SDD.TPS:DSD_PRICES@DF_PRICES_ALL(1.0),,I,NZL,,Q,,N,,CPI,,PA,,_T,,N,,GY,,2007-Q3,,1.787488,,A,,,,,,,,2,
DATAFLOW,OECD.SDD.TPS:DSD_PRICES@DF_PRICES_ALL(1.0),,I,NZL,,Q,,N,,CPI,,PA,,_T,,N,,GY,,2007-Q4,,3.18408,,A,,,,,,,,2,
DATAFLOW,OECD.SDD.TPS:DSD_PRICES@DF_PRICES_ALL(1.0),,I,NZL,,Q,,N,,CPI,,PA,,_T,,N,,GY,,2008-Q1,,3.366337,,A,,,,,,,,2,
DATAFLOW,OECD.SDD.TPS:DSD_PRICES@DF_PRICES_ALL(1.0),,I,NZL,,Q,,N,,CPI,,PA,,_T,,N,,GY,,2008-Q2,,4.019608,,A,,,,,,,,2,
DATAFLOW,OECD.SDD.TPS:DSD_PRICES@DF_PRICES_ALL(1.0),,I,NZL,,Q,,N,,CPI,,PA,,_T,,N,,GY,,2008-Q3,,5.073171,,A,,,,,,,,2,
DATAFLOW,OECD.SDD.TPS:DSD_PRICES@DF_PRICES_ALL(1.0),,I,NZL,,Q,,N,,CPI,,PA,,_T,,N,,GY,,2008-Q4,,3.37512,,A,,,,,,,,2,
DATAFLOW,OECD.SDD.TPS:DSD_PRICES@DF_PRICES_ALL(1.0),,I,NZL,,Q,,N,,CPI,,PA,,_T,,N,,GY,,2009-Q1,,2.969349,,A,,,,,,,,2,
DATAFLOW,OECD.SDD.TPS:DSD_PRICES@DF_PRICES_ALL(1.0),,I,NZL,,Q,,N,,CPI,,PA,,_T,,N,,GY,,2009-Q2,,1.885014,,A,,,,,,,,2,
DATAFLOW,OECD.SDD.TPS:DSD_PRICES@DF_PRICES_ALL(1.0),,I,NZL,,Q,,N,,CPI,,PA,,_T,,N,,GY,,2009-Q3,,1.671309,,A,,,,,,,,2,
DATAFLOW,OECD.SDD.TPS:DSD_PRICES@DF_PRICES_ALL(1.0),,I,NZL,,Q,,N,,CPI,,PA,,_T,,N,,GY,,2009-Q4,,1.958955,,A,,,,,,,,2,
DATAFLOW,OECD.SDD.TPS:DSD_PRICES@DF_PRICES_ALL(1.0),,I,NZL,,Q,,N,,CPI,,PA,,_T,,N,,GY,,2010-Q1,,2.046512,,A,,,,,,,,2,
DATAFLOW,OECD.SDD.TPS:DSD_PRICES@DF_PRICES_ALL(1.0),,I,NZL,,Q,,N,,CPI,,PA,,_T,,N,,GY,,2010-Q2,,1.665125,,A,,,,,,,,2,
DATAFLOW,OECD.SDD.TPS:DSD_PRICES@DF_PRICES_ALL(1.0),,I,NZL,,Q,,N,,CPI,,PA,,_T,,N,,GY,,2010-Q3,,1.461187,,A,,,,,,,,2,
DATAFLOW,OECD.SDD.TPS:DSD_PRICES@DF_PRICES_ALL(1.0),,I,NZL,,Q,,N,,CPI,,PA,,_T,,N,,GY,,2010-Q4,,4.025618,,A,,,,,,,,2,
DATAFLOW,OECD.SDD.TPS:DSD_PRICES@DF_PRICES_ALL(1.0),,I,NZL,,Q,,N,,CPI,,PA,,_T,,N,,GY,,2011-Q1,,4.466727,,A,,,,,,,,2,
DATAFLOW,OECD.SDD.TPS:DSD_PRICES@DF_PRICES_ALL(1.0),,I,NZL,,Q,,N,,CPI,,PA,,_T,,N,,GY,,2011-Q2,,5.277525,,A,,,,,,,,2,
DATAFLOW,OECD.SDD.TPS:DSD_PRICES@DF_PRICES_ALL(1.0),,I,NZL,,Q,,N,,CPI,,PA,,_T,,N,,GY,,2011-Q3,,4.590459,,A,,,,,,,,2,
DATAFLOW,OECD.SDD.TPS:DSD_PRICES@DF_PRICES_ALL(1.0),,I,NZL,,Q,,N,,CPI,,PA,,_T,,N,,GY,,2011-Q4,,1.846966,,A,,,,,,,,2,
DATAFLOW,OECD.SDD.TPS:DSD_PRICES@DF_PRICES_ALL(1.0),,I,NZL,,Q,,N,,CPI,,PA,,_T,,N,,GY,,2012-Q1,,1.570681,,A,,,,,,,,2,
DATAFLOW,OECD.SDD.TPS:DSD_PRICES@DF_PRICES_ALL(1.0),,I,NZL,,Q,,N,,CPI,,PA,,_T,,N,,GY,,2012-Q2,,0.9507346,,A,,,,,,,,2,
DATAFLOW,OECD.SDD.TPS:DSD_PRICES@DF_PRICES_ALL(1.0),,I,NZL,,Q,,N,,CPI,,PA,,_T,,N,,GY,,2012-Q3,,0.7745267,,A,,,,,,,,2,
DATAFLOW,OECD.SDD.TPS:DSD_PRICES@DF_PRICES_ALL(1.0),,I,NZL,,Q,,N,,CPI,,PA,,_T,,N,,GY,,2012-Q4,,0.9499137,,A,,,,,,,,2,
DATAFLOW,OECD.SDD.TPS:DSD_PRICES@DF_PRICES_ALL(1.0),,I,NZL,,Q,,N,,CPI,,PA,,_T,,N,,GY,,2013-Q1,,0.8591064,,A,,,,,,,,2,
DATAFLOW,OECD.SDD.TPS:DSD_PRICES@DF_PRICES_ALL(1.0),,I,NZL,,Q,,N,,CPI,,PA,,_T,,N,,GY,,2013-Q2,,0.6849316,,A,,,,,,,,2,
DATAFLOW,OECD.SDD.TPS:DSD_PRICES@DF_PRICES_ALL(1.0),,I,NZL,,Q,,N,,CPI,,PA,,_T,,N,,GY,,2013-Q3,,1.366354,,A,,,,,,,,2,
DATAFLOW,OECD.SDD.TPS:DSD_PRICES@DF_PRICES_ALL(1.0),,I,NZL,,Q,,N,,CPI,,PA,,_T,,N,,GY,,2013-Q4,,1.625321,,A,,,,,,,,2,
DATAFLOW,OECD.SDD.TPS:DSD_PRICES@DF_PRICES_ALL(1.0),,I,NZL,,Q,,N,,CPI,,PA,,_T,,N,,GY,,2014-Q1,,1.53322,,A,,,,,,,,2,
DATAFLOW,OECD.SDD.TPS:DSD_PRICES@DF_PRICES_ALL(1.0),,I,NZL,,Q,,N,,CPI,,PA,,_T,,N,,GY,,2014-Q2,,1.615646,,A,,,,,,,,2,
DATAFLOW,OECD.SDD.TPS:DSD_PRICES@DF_PRICES_ALL(1.0),,I,NZL,,Q,,N,,CPI,,PA,,_T,,N,,GY,,2014-Q3,,1.010952,,A,,,,,,,,2,
DATAFLOW,OECD.SDD.TPS:DSD_PRICES@DF_PRICES_ALL(1.0),,I,NZL,,Q,,N,,CPI,,PA,,_T,,N,,GY,,2014-Q4,,0.7575758,,A,,,,,,,,2,
DATAFLOW,OECD.SDD.TPS:DSD_PRICES@DF_PRICES_ALL(1.0),,I,NZL,,Q,,N,,CPI,,PA,,_T,,N,,GY,,2015-Q1,,0.2516778,,A,,,,,,,,2,
DATAFLOW,OECD.SDD.TPS:DSD_PRICES@DF_PRICES_ALL(1.0),,I,NZL,,Q,,N,,CPI,,PA,,_T,,N,,GY,,2015-Q2,,0.41841,,A,,,,,,,,2,
DATAFLOW,OECD.SDD.TPS:DSD_PRICES@DF_PRICES_ALL(1.0),,I,NZL,,Q,,N,,CPI,,PA,,_T,,N,,GY,,2015-Q3,,0.4170141,,A,,,,,,,,2,
DATAFLOW,OECD.SDD.TPS:DSD_PRICES@DF_PRICES_ALL(1.0),,I,NZL,,Q,,N,,CPI,,PA,,_T,,N,,GY,,2015-Q4,,0.08354222,,A,,,,,,,,2,
DATAFLOW,OECD.SDD.TPS:DSD_PRICES@DF_PRICES_ALL(1.0),,I,NZL,,Q,,N,,CPI,,PA,,_T,,N,,GY,,2016-Q1,,0.41841,,A,,,,,,,,2,
DATAFLOW,OECD.SDD.TPS:DSD_PRICES@DF_PRICES_ALL(1.0),,I,NZL,,Q,,N,,CPI,,PA,,_T,,N,,GY,,2016-Q2,,0.4166667,,A,,,,,,,,2,
