t,date,deutschland,synthetisch,gap,ausgeschlossen
11,2007.5,69.18359,70.1852879920182,-1.001697992018208,ITA
12,2007.75,69.36181,70.16491490806698,-0.8031049080669703,ITA
13,2008,69.81321,70.80150215658003,-0.9882921565800302,ITA
14,2008.25,69.80685,70.9829107425332,-1.1760607425332097,ITA
15,2008.5,70.35694,70.60674565333542,-0.2498056533354287,ITA
16,2008.75,70.43853,70.79364516507053,-0.3551151650705293,ITA
17,2009,69.24348,70.50933849191965,-1.2658584919196443,ITA
18,2009.25,69.34557,70.301619133634,-0.9560491336340107,ITA
19,2009.5,69.180179999999993,70.16787450632845,-0.9876945063284523,ITA
20,2009.75,69.81895,70.37734447975333,-0.558394479753332,ITA
21,2010,69.90231,70.48164129818262,-0.5793312981826233,ITA
22,2010.25,70.25742,70.57650371171323,-0.31908371171323324,ITA
23,2010.5,70.44604,70.83262950650452,-0.38658950650452084,ITA
24,2010.75,70.65646,71.21550053292059,-0.5590405329205907,ITA
25,2011,71.21901,70.88950858114877,0.32950141885122264,ITA
26,2011.25,71.75304,71.08704961605262,0.6659903839473742,ITA
27,2011.5,71.83925,71.34917336135247,0.4900766386475368,ITA
28,2011.75,72.25014,71.04686212498652,1.2032778750134838,ITA
29,2012,71.77687,71.20843948174165,0.5684305182583529,ITA
30,2012.25,71.98163,71.51878888091336,0.46284111908663306,ITA
31,2012.5,72.06743,71.4344503490803,0.6329796509197081,ITA
32,2012.75,72.14242,71.45637083764176,0.6860491623582448,ITA
33,2013,72.18745,71.2584634914119,0.9289865085880962,ITA
34,2013.25,72.47523,71.6987568774841,0.7764731225158954,ITA
35,2013.5,72.39938,71.51433101967646,0.885048980323532,ITA
36,2013.75,72.46141,71.18278513308236,1.2786248669176388,ITA
37,2014,72.45598,70.98432930542377,1.4716506945762262,ITA
38,2014.25,72.56773,71.32321134917781,1.2445186508221866,ITA
39,2014.5,72.71888,70.97844504435216,1.7404349556478422,ITA
40,2014.75,72.56651,71.045238878147,1.5212711218529904,ITA
41,2015,72.70757,71.06310970736529,1.6444602926347187,ITA
42,2015.25,72.51051,70.93329840816808,1.5772115918319116,ITA
43,2015.5,72.63437,71.18348778902025,1.4508822109797563,ITA
44,2015.75,72.76231,71.2526459660894,1.509664033910596,ITA
45,2016,72.93954,71.26667762551865,1.6728623744813405,ITA
46,2016.25,72.98755,71.4557306330703,1.531819366929696,ITA
47,2016.5,73.40736,71.69815753284801,1.7092024671519823,ITA
48,2016.75,73.49681,71.74848362963604,1.748326370363955,ITA
49,2017,73.41237,71.77402097980833,1.6383490201916686,ITA
50,2017.25,73.58966,72.25514840610617,1.3345115938938221,ITA
51,2017.5,73.71687,72.04780102342455,1.6690689765754456,ITA
52,2017.75,73.96725,72.57687139296249,1.390378607037519,ITA
53,2018,74.04164,72.70170844744817,1.3399315525518318,ITA
54,2018.25,74.02095,73.12783444601199,0.8931155539880109,ITA
55,2018.5,74.28933,73.03751807934032,1.2518119206596907,ITA
56,2018.75,74.40572,73.18715310663306,1.2185668933669405,ITA
57,2019,74.73882,73.40423554979948,1.3345844502005235,ITA
58,2019.25,74.89684,73.55197032289612,1.3448696771038726,ITA
59,2019.5,74.87152,73.44689326165398,1.4246267383460207,ITA
60,2019.75,74.74255,73.80101216109904,0.9415378389009561,ITA
