t,date,deutschland,synthetisch,gap,spez,t_fake,date_fake
59,2019.5,74.87152,71.87983842005453,2.991681579945478,Haupt (J=7),17,2009
60,2019.75,74.74255,72.20620822601705,2.53634177398294,Haupt (J=7),17,2009
1,2005,65.19444,66.14399163637523,-0.949551636375233,Haupt (J=7),21,2010
2,2005.25,65.19944,66.25934271292674,-1.0599027129267427,Haupt (J=7),21,2010
3,2005.5,65.5234,66.58737144673532,-1.063971446735323,Haupt (J=7),21,2010
4,2005.75,65.89368,66.71470377871307,-0.8210237787130694,Haupt (J=7),21,2010
5,2006,66.40794,66.96572637761112,-0.5577863776111229,Haupt (J=7),21,2010
6,2006.25,66.9909,67.44765549833987,-0.4567554983398736,Haupt (J=7),21,2010
7,2006.5,67.47513,67.83619465713379,-0.3610646571337952,Haupt (J=7),21,2010
8,2006.75,67.7817,67.96162501424583,-0.17992501424582485,Haupt (J=7),21,2010
9,2007,68.48769,68.40892788086248,0.07876211913752229,Haupt (J=7),21,2010
10,2007.25,68.81258,68.55253389184182,0.2600461081581784,Haupt (J=7),21,2010
11,2007.5,69.18359,69.06935796282929,0.11423203717070862,Haupt (J=7),21,2010
12,2007.75,69.36181,69.03462707017071,0.3271829298292914,Haupt (J=7),21,2010
13,2008,69.81321,69.6108807703826,0.20232922961740485,Haupt (J=7),21,2010
14,2008.25,69.80685,69.78421149131825,0.022638508681751546,Haupt (J=7),21,2010
15,2008.5,70.35694,69.43925462918348,0.917685370816514,Haupt (J=7),21,2010
16,2008.75,70.43853,69.56948235748989,0.869047642510111,Haupt (J=7),21,2010
17,2009,69.24348,69.22979514226842,0.013684857731590228,Haupt (J=7),21,2010
18,2009.25,69.34557,69.00555110973086,0.34001889026913545,Haupt (J=7),21,2010
19,2009.5,69.180179999999993,68.84636067595663,0.3338193240433611,Haupt (J=7),21,2010
20,2009.75,69.81895,68.99853522773871,0.8204147722612873,Haupt (J=7),21,2010
21,2010,69.90231,69.09557731862233,0.8067326813776674,Haupt (J=7),21,2010
22,2010.25,70.25742,69.1757807023701,1.0816392976298914,Haupt (J=7),21,2010
23,2010.5,70.44604,69.38122044062645,1.0648195593735466,Haupt (J=7),21,2010
24,2010.75,70.65646,69.75280516231312,0.9036548376868723,Haupt (J=7),21,2010
25,2011,71.21901,69.47994428755493,1.7390657124450684,Haupt (J=7),21,2010
26,2011.25,71.75304,69.64199312907003,2.111046870929968,Haupt (J=7),21,2010
27,2011.5,71.83925,69.8661381938683,1.9731118061317119,Haupt (J=7),21,2010
28,2011.75,72.25014,69.58576118579641,2.6643788142035874,Haupt (J=7),21,2010
29,2012,71.77687,69.74300926589626,2.0338607341037402,Haupt (J=7),21,2010
30,2012.25,71.98163,70.0153744975163,1.9662555024836905,Haupt (J=7),21,2010
31,2012.5,72.06743,69.91784398502767,2.1495860149723285,Haupt (J=7),21,2010
32,2012.75,72.14242,69.914495095019,2.227924904980995,Haupt (J=7),21,2010
33,2013,72.18745,69.68529889401955,2.5021511059804453,Haupt (J=7),21,2010
34,2013.25,72.47523,70.04104185003183,2.434188149968165,Haupt (J=7),21,2010
35,2013.5,72.39938,69.8718665006356,2.527513499364389,Haupt (J=7),21,2010
36,2013.75,72.46141,69.5958866274831,2.865523372516904,Haupt (J=7),21,2010
37,2014,72.45598,69.42767506048803,3.028304939511969,Haupt (J=7),21,2010
38,2014.25,72.56773,69.73087926440763,2.836850735592364,Haupt (J=7),21,2010
39,2014.5,72.71888,69.43870108526357,3.2801789147364246,Haupt (J=7),21,2010
40,2014.75,72.56651,69.52466650216789,3.0418434978321045,Haupt (J=7),21,2010
41,2015,72.70757,69.55587236559127,3.151697634408734,Haupt (J=7),21,2010
42,2015.25,72.51051,69.44026282250923,3.0702471774907707,Haupt (J=7),21,2010
43,2015.5,72.63437,69.71147606361204,2.9228939363879647,Haupt (J=7),21,2010
44,2015.75,72.76231,69.79141236821657,2.97089763178343,Haupt (J=7),21,2010
45,2016,72.93954,69.83128218596934,3.108257814030651,Haupt (J=7),21,2010
46,2016.25,72.98755,70.05113571386902,2.936414286130983,Haupt (J=7),21,2010
47,2016.5,73.40736,70.2680630950873,3.1392969049126975,Haupt (J=7),21,2010
48,2016.75,73.49681,70.32585334454181,3.170956655458184,Haupt (J=7),21,2010
49,2017,73.41237,70.38709948001751,3.0252705199824845,Haupt (J=7),21,2010
50,2017.25,73.58966,70.82017883512991,2.7694811648700863,Haupt (J=7),21,2010
51,2017.5,73.71687,70.66678169845335,3.0500883015466513,Haupt (J=7),21,2010
52,2017.75,73.96725,71.15732671873944,2.8099232812605663,Haupt (J=7),21,2010
53,2018,74.04164,71.28117520886705,2.7604647911329465,Haupt (J=7),21,2010
54,2018.25,74.02095,71.70563021224119,2.31531978775881,Haupt (J=7),21,2010
55,2018.5,74.28933,71.61989468508717,2.669435314912832,Haupt (J=7),21,2010
56,2018.75,74.40572,71.74968054948214,2.6560394505178664,Haupt (J=7),21,2010
57,2019,74.73882,71.97784283062543,2.76097716937457,Haupt (J=7),21,2010
58,2019.25,74.89684,72.12701749724077,2.769822502759226,Haupt (J=7),21,2010
59,2019.5,74.87152,72.03501597313377,2.836504026866237,Haupt (J=7),21,2010
60,2019.75,74.74255,72.36413543189423,2.378414568105768,Haupt (J=7),21,2010
1,2005,65.19444,66.29382440445845,-1.0993844044584478,Haupt (J=7),25,2011
2,2005.25,65.19944,66.41301910746452,-1.2135791074645255,Haupt (J=7),25,2011
